1password	ii 	8.12.30
fcitx5	ii 	5.1.12-2
fcitx5-chinese-addons	ii 	5.1.8-1
fcitx5-chinese-addons-bin	ii 	5.1.8-1
fcitx5-chinese-addons-data	ii 	5.1.8-1
fcitx5-config-qt	ii 	5.1.8-1
fcitx5-data	ii 	5.1.12-2
fcitx5-frontend-all	ii 	5.1.12-2
fcitx5-frontend-gtk3	ii 	5.1.3-3
fcitx5-frontend-gtk4	ii 	5.1.3-3
fcitx5-frontend-qt5	ii 	5.1.9-1+b1
fcitx5-frontend-qt6	ii 	5.1.9-1+b1
fcitx5-m17n:amd64	ii 	5.1.3-1
fcitx5-module-chttrans:amd64	ii 	5.1.8-1
fcitx5-module-cloudpinyin:amd64	ii 	5.1.8-1
fcitx5-module-fullwidth:amd64	ii 	5.1.8-1
fcitx5-module-lua:amd64	ii 	5.0.14-1
fcitx5-module-lua-common	ii 	5.0.14-1
fcitx5-module-pinyinhelper:amd64	ii 	5.1.8-1
fcitx5-module-punctuation:amd64	ii 	5.1.8-1
fcitx5-modules:amd64	ii 	5.1.12-2
fcitx5-pinyin:amd64	ii 	5.1.8-1
fcitx5-pinyin-gui:amd64	ii 	5.1.8-1
fcitx5-table:amd64	ii 	5.1.8-1
fcitx5-table-malayalam-phonetic	ii 	5.1.4-1
fdisk	ii 	2.41-5
ffmpeg	ii 	7:7.1.5-0+deb13u1
file	ii 	1:5.46-5
file-roller	ii 	44.5-1
findutils	ii 	4.10.0-3
firefox-esr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ar	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ast	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-be	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-bg	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-bn	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-bs	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ca	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-cs	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-cy	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-da	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-de	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-el	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-en-gb	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-eo	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-es-ar	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-es-cl	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-es-es	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-es-mx	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-et	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-eu	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-fa	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-fi	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-fr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ga-ie	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-gl	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-gu-in	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-he	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-hi-in	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-hr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-hu	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-id	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-is	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-it	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ja	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-kk	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-km	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-kn	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ko	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-lt	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-lv	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-mk	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-mr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-nb-no	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ne-np	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-nl	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-nn-no	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-pa-in	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-pl	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-pt-br	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-pt-pt	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ro	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ru	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-si	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-sk	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-sl	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-sq	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-sr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-sv-se	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-ta	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-te	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-th	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-tr	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-uk	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-vi	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-zh-cn	ii 	140.13.0esr-1~deb13u1
firefox-esr-l10n-zh-tw	ii 	140.13.0esr-1~deb13u1
firmware-amd-graphics	ii 	20250410-2
firmware-ast	ii 	20140808-10
firmware-ath9k-htc	ii 	1.4.0-110-ge888634+dfsg1-0.1
firmware-atheros	ii 	20250410-2
firmware-bnx2	ii 	20250410-2
firmware-bnx2x	ii 	20250410-2
firmware-brcm80211	ii 	20250410-2
firmware-carl9170	ii 	1.9.9-450-gad1c721+dfsg-0.1
firmware-cavium	ii 	20250410-2
firmware-cirrus	ii 	20250410-2
firmware-intel-graphics	ii 	20250410-2
firmware-intel-misc	ii 	20250410-2
firmware-intel-sound	ii 	20250410-2
firmware-ipw2x00	ii 	20250410-2
firmware-ivtv	ii 	20250410-2
firmware-iwlwifi	ii 	20250410-2
firmware-libertas	ii 	20250410-2
firmware-linux	ii 	20250410-2
firmware-linux-free	ii 	20241210-2
firmware-linux-nonfree	ii 	20250410-2
firmware-marvell-prestera	ii 	20250410-2
firmware-mediatek	ii 	20250410-2
firmware-misc-nonfree	ii 	20250410-2
firmware-myricom	ii 	20250410-2
firmware-netronome	ii 	20250410-2
firmware-netxen	ii 	20250410-2
firmware-nvidia-graphics	ii 	20250410-2
firmware-qlogic	ii 	20250410-2
firmware-realtek	ii 	20250410-2
firmware-siano	ii 	20250410-2
firmware-sof-signed	ii 	2025.01-1
firmware-zd1211	ii 	1:1.5-13
flatpak	ii 	1.16.6-1~deb13u1
fontconfig	ii 	2.15.0-2.3
fontconfig-config	ii 	2.15.0-2.3
fonts-arundina	ii 	0.3.2-2
fonts-beng	ii 	2:1.3
fonts-beng-extra	ii 	3.6.0-1
fonts-bpg-georgian	ii 	2012-5
fonts-culmus	ii 	0.140-3
fonts-dejavu	ii 	2.37-8
fonts-dejavu-core	ii 	2.37-8
fonts-dejavu-extra	ii 	2.37-8
fonts-dejavu-mono	ii 	2.37-8
fonts-deva	ii 	2:1.4
fonts-deva-extra	ii 	3.0-6
fonts-droid-fallback	ii 	1:8.1.0r7-1~1.gbp36536b
fonts-dzongkha	ii 	0.3-9
fonts-farsiweb	ii 	0.4.dfsg-13
fonts-font-awesome	ii 	5.0.10+really4.7.0~dfsg-4.1
fonts-freefont-ttf	ii 	20211204+svn4273-2
fonts-gargi	ii 	2.0-6
fonts-gujr	ii 	2:1.5
fonts-gujr-extra	ii 	1.0.1-2
fonts-guru	ii 	2:1.3
fonts-guru-extra	ii 	2.0-5
fonts-hosny-amiri	ii 	1.001-1
fonts-hosny-thabit	ii 	0.02-2.1
fonts-ipafont	ii 	00303-23
fonts-ipafont-gothic	ii 	00303-23
fonts-ipafont-mincho	ii 	00303-23
fonts-kalapi	ii 	1.0-5
fonts-khmeros	ii 	5.0-9
fonts-lato	ii 	2.015-1
fonts-liberation	ii 	1:2.1.5-3
fonts-liberation-sans-narrow	ii 	1:1.07.6-4
fonts-lohit-beng-assamese	ii 	2.91.5-2
fonts-lohit-beng-bengali	ii 	2.91.5-3
fonts-lohit-deva	ii 	2.95.4-5
fonts-lohit-gujr	ii 	2.92.4-4
fonts-lohit-guru	ii 	2.91.2-3
fonts-lohit-knda	ii 	2.5.4-3
fonts-lohit-mlym	ii 	2.92.2-2
fonts-lohit-taml	ii 	2.91.3-2
fonts-lohit-taml-classical	ii 	2.5.4-2
fonts-lohit-telu	ii 	2.5.5-2
fonts-mathjax	ii 	2.7.9+dfsg-1
fonts-mlym	ii 	2:1.3
fonts-nakula	ii 	1.0-4
fonts-noto	ii 	20201225-2
fonts-noto-cjk	ii 	1:20240730+repack1-1
fonts-noto-cjk-extra	ii 	1:20240730+repack1-1
fonts-noto-color-emoji	ii 	2.051-0+deb13u1
fonts-noto-core	ii 	20201225-2
fonts-noto-extra	ii 	20201225-2
fonts-noto-mono	ii 	20201225-2
fonts-noto-ui-core	ii 	20201225-2
fonts-noto-ui-extra	ii 	20201225-2
fonts-noto-unhinted	ii 	20201225-2
fonts-opensymbol	ii 	4:102.12+LibO25.2.3-2+deb13u6
fonts-quicksand	ii 	0.2016-2.1
fonts-sahadeva	ii 	1.0-5
fonts-sahel-variable	ii 	3.4.0-3
fonts-samyak-deva	ii 	1.2.2-6
fonts-samyak-gujr	ii 	1.2.2-6
fonts-samyak-mlym	ii 	1.2.2-6
fonts-samyak-taml	ii 	1.2.2-6
fonts-sarai	ii 	1.0-3
fonts-sil-abyssinica	ii 	2.201-1
fonts-sil-andika	ii 	6.200-1
fonts-sil-annapurna	ii 	2.000-2
fonts-sil-scheherazade	ii 	2.100-2.1
fonts-smc	ii 	1:7.5
fonts-smc-anjalioldlipi	ii 	7.1.2-2
fonts-smc-chilanka	ii 	1.540-2
fonts-smc-dyuthi	ii 	3.0.2-2
fonts-smc-gayathri	ii 	1.200-1
fonts-smc-karumbi	ii 	1.1.2-2
fonts-smc-keraleeyam	ii 	3.0.2-2
fonts-smc-manjari	ii 	2.200-1
fonts-smc-meera	ii 	7.0.3-1
fonts-smc-rachana	ii 	7.0.2-1
fonts-smc-raghumalayalamsans	ii 	2.2.1-1
fonts-smc-suruma	ii 	3.2.3-1
fonts-smc-uroob	ii 	2.0.2-1
fonts-symbola	ii 	2.60-2
fonts-taml	ii 	2:1.4
fonts-telu	ii 	2:1.3
fonts-telu-extra	ii 	2.0-6
fonts-teluguvijayam	ii 	2.1-1
fonts-thai-tlwg	ii 	1:0.7.3-1
fonts-tlwg-garuda	ii 	1:0.7.3-1
fonts-tlwg-garuda-ttf	ii 	1:0.7.3-1
fonts-tlwg-kinnari	ii 	1:0.7.3-1
fonts-tlwg-kinnari-ttf	ii 	1:0.7.3-1
fonts-tlwg-laksaman	ii 	1:0.7.3-1
fonts-tlwg-laksaman-ttf	ii 	1:0.7.3-1
fonts-tlwg-loma	ii 	1:0.7.3-1
fonts-tlwg-loma-ttf	ii 	1:0.7.3-1
fonts-tlwg-mono	ii 	1:0.7.3-1
fonts-tlwg-mono-ttf	ii 	1:0.7.3-1
fonts-tlwg-norasi	ii 	1:0.7.3-1
fonts-tlwg-norasi-ttf	ii 	1:0.7.3-1
fonts-tlwg-purisa	ii 	1:0.7.3-1
fonts-tlwg-purisa-ttf	ii 	1:0.7.3-1
fonts-tlwg-sawasdee	ii 	1:0.7.3-1
fonts-tlwg-sawasdee-ttf	ii 	1:0.7.3-1
fonts-tlwg-typewriter	ii 	1:0.7.3-1
fonts-tlwg-typewriter-ttf	ii 	1:0.7.3-1
fonts-tlwg-typist	ii 	1:0.7.3-1
fonts-tlwg-typist-ttf	ii 	1:0.7.3-1
fonts-tlwg-typo	ii 	1:0.7.3-1
fonts-tlwg-typo-ttf	ii 	1:0.7.3-1
fonts-tlwg-umpush	ii 	1:0.7.3-1
fonts-tlwg-umpush-ttf	ii 	1:0.7.3-1
fonts-tlwg-waree	ii 	1:0.7.3-1
fonts-tlwg-waree-ttf	ii 	1:0.7.3-1
fonts-ukij-uyghur	ii 	20110217-4
fonts-unikurdweb	ii 	1.0-6
fonts-urw-base35	ii 	20200910-8
fonts-vazirmatn-variable	ii 	33.003-3
fonts-vlgothic	ii 	20220612-1
fonts-yrsa-rasa	ii 	2.005-1
fortune-mod	ii 	1:1.99.1-9
fortunes-debian-hints	ii 	2.01.5+nmu1
fortunes-it	ii 	2.16-2
fuse3	ii 	3.17.2-3
fwupd	ii 	2.0.20-1~deb13u1
fwupd-amd64-signed	ii 	1:1.7+1
g++	ii 	4:14.2.0-1
g++-14	ii 	14.2.0-19
g++-14-x86-64-linux-gnu	ii 	14.2.0-19
g++-x86-64-linux-gnu	ii 	4:14.2.0-1
gcc	ii 	4:14.2.0-1
gcc-14	ii 	14.2.0-19
gcc-14-base:amd64	ii 	14.2.0-19
gcc-14-base:i386	ii 	14.2.0-19
gcc-14-x86-64-linux-gnu	ii 	14.2.0-19
gcc-x86-64-linux-gnu	ii 	4:14.2.0-1
gcr	ii 	3.41.2-3
gcr4	ii 	4.4.0.1-3
gdal-data	ii 	3.10.3+dfsg-1
gdal-plugins:amd64	ii 	3.10.3+dfsg-1
geoclue-2.0	ii 	2.7.2-2
gettext-base	ii 	0.23.1-2
ghostscript	ii 	10.05.1~dfsg-1+deb13u1
gimp-help-common	ii 	3.0.0-4
gimp-help-sv	ii 	3.0.0-4
gir1.2-atk-1.0:amd64	ii 	2.56.2-1+deb13u1
gir1.2-atspi-2.0:amd64	ii 	2.56.2-1+deb13u1
gir1.2-freedesktop:amd64	ii 	1.84.0-1
gir1.2-gdkpixbuf-2.0:amd64	ii 	2.42.12+dfsg-4+deb13u1
gir1.2-girepository-2.0:amd64	ii 	1.84.0-1
gir1.2-glib-2.0:amd64	ii 	2.84.4-3~deb13u3
gir1.2-gst-plugins-base-1.0:amd64	ii 	1.26.2-1+deb13u1
gir1.2-gstreamer-1.0:amd64	ii 	1.26.2-2
gir1.2-gtk-3.0:amd64	ii 	3.24.49-3
gir1.2-gtksource-3.0:amd64	ii 	3.24.11-3
gir1.2-handy-1:amd64	ii 	1.8.3-2
gir1.2-harfbuzz-0.0:amd64	ii 	10.2.0-1+deb13u1
gir1.2-ibus-1.0:amd64	ii 	1.5.32-2
gir1.2-keybinder-3.0	ii 	0.3.2-1.1+b3
gir1.2-notify-0.7:amd64	ii 	0.8.6-1
gir1.2-packagekitglib-1.0	ii 	1.3.1-1+deb13u1
gir1.2-pango-1.0:amd64	ii 	1.56.3-1
gir1.2-polkit-1.0	ii 	126-2
gir1.2-secret-1:amd64	ii 	0.21.7-1
gir1.2-soup-3.0:amd64	ii 	3.6.5-3
gir1.2-wnck-3.0:amd64	ii 	43.2-1
git	ii 	1:2.47.3-0+deb13u1
git-man	ii 	1:2.47.3-0+deb13u1
glib-networking:amd64	ii 	2.80.1-1
glib-networking-common	ii 	2.80.1-1
glib-networking-services	ii 	2.80.1-1
gnome-accessibility-themes	ii 	3.28-4
gnome-icon-theme	ii 	3.12.0-6
gnome-keyring	ii 	48.0-1
gnome-keyring-pkcs11:amd64	ii 	48.0-1
gnome-software	ii 	48.3-2
gnome-software-common	ii 	48.3-2
gnome-software-plugin-deb	ii 	48.3-2
gnome-software-plugin-flatpak	ii 	48.3-2
gnome-software-plugin-fwupd	ii 	48.3-2
gnome-themes-extra:amd64	ii 	3.28-4
gnome-themes-extra-data	ii 	3.28-4
gnupg	ii 	2.4.7-21+deb13u1
gnupg-l10n	ii 	2.4.7-21+deb13u1
gnupg-utils	ii 	2.4.7-21+deb13u1+b4
gnupg2	ii 	2.4.7-21+deb13u1
goldendict-ng	ii 	25.06.0-2
gparted	ii 	1.6.0-2
gparted-common	ii 	1.6.0-2
gpg	ii 	2.4.7-21+deb13u1+b4
gpg-agent	ii 	2.4.7-21+deb13u1+b4
gpg-wks-client	ii 	2.4.7-21+deb13u1+b4
gpgconf	ii 	2.4.7-21+deb13u1+b4
gpgsm	ii 	2.4.7-21+deb13u1+b4
gpgv	ii 	2.4.7-21+deb13u1+b4
grep	ii 	3.11-4
groff-base	ii 	1.23.0-9
grub-common	ii 	2.12-9+deb13u2
grub-efi	ii 	2.12-9+deb13u2
grub-efi-amd64	ii 	2.12-9+deb13u2
grub-efi-amd64-bin	ii 	2.12-9+deb13u2
grub-efi-amd64-signed	ii 	1+2.12+9+deb13u2
grub-efi-amd64-unsigned	ii 	2.12-9+deb13u2
grub2-common	ii 	2.12-9+deb13u2
gsettings-desktop-schemas	ii 	48.0-1
gstreamer1.0-alsa:amd64	ii 	1.26.2-1+deb13u1
gstreamer1.0-gl:amd64	ii 	1.26.2-1+deb13u1
gstreamer1.0-gtk3:amd64	ii 	1.26.2-1+deb13u2
gstreamer1.0-libav:amd64	ii 	1.26.2-1+deb13u1
gstreamer1.0-plugins-bad:amd64	ii 	1.26.2-3+deb13u2
gstreamer1.0-plugins-base:amd64	ii 	1.26.2-1+deb13u1
gstreamer1.0-plugins-good:amd64	ii 	1.26.2-1+deb13u2
gstreamer1.0-plugins-ugly:amd64	ii 	1.26.3-4+deb13u1
gstreamer1.0-x:amd64	ii 	1.26.2-1+deb13u1
gtk-update-icon-cache	ii 	4.18.6+ds-2
gtk2-engines-pixbuf:amd64	ii 	2.24.33-7
gvfs:amd64	ii 	1.57.2-2+deb13u1
gvfs-common	ii 	1.57.2-2+deb13u1
gvfs-daemons	ii 	1.57.2-2+deb13u1
gvfs-libs:amd64	ii 	1.57.2-2+deb13u1
gzip	ii 	1.13-1
hicolor-icon-theme	ii 	0.18-2
hostname	ii 	3.25
hspell	ii 	1.4-3.1
hspell-gui	ii 	0.2.6-7+b1
htop	ii 	3.4.1-5
hunspell	ii 	1.7.2+really1.7.2-10+b4
hunspell-ar	ii 	3.5.2014-11-08-5
hunspell-be	ii 	0.60-1
hunspell-bg	ii 	1:25.2.3-1
hunspell-bs	ii 	1:25.2.3-1
hunspell-ca	ii 	3.0.9+repack1-2
hunspell-cs	ii 	1:25.2.3-1
hunspell-da	ii 	1:25.2.3-1
hunspell-de-at	ii 	20161207-15
hunspell-de-ch	ii 	20161207-15
hunspell-de-de	ii 	20161207-15
hunspell-el	ii 	1:25.2.3-1
hunspell-en-gb	ii 	1:25.2.3-1
hunspell-en-us	ii 	1:2020.12.07-4
hunspell-eo	ii 	1:25.2.3-1
hunspell-eu	ii 	5.4.10-1
hunspell-fr	ii 	1:7.0-3
hunspell-fr-classical	ii 	1:7.0-3
hunspell-gl	ii 	1:25.2.3-1
hunspell-gu	ii 	1:25.2.3-1
hunspell-hi	ii 	1:25.2.3-1
hunspell-hr	ii 	1:25.2.3-1
hunspell-hu	ii 	1:25.2.3-1
hunspell-id	ii 	1:25.2.3-1
hunspell-is	ii 	1:25.2.3-1
hunspell-it	ii 	1:25.2.3-1
hunspell-kk	ii 	1.1.2-2
hunspell-kmr	ii 	1:25.2.3-1
hunspell-ko	ii 	0.7.94-2
hunspell-lt	ii 	1:25.2.3-1
hunspell-lv	ii 	1.4.0-5
hunspell-ml	ii 	0.1-3
hunspell-ne	ii 	1:25.2.3-1
hunspell-nl	ii 	2:2.20.19+1-3
hunspell-pl	ii 	1:25.2.3-1
hunspell-pt-br	ii 	1:25.2.3-1
